force,friction,agent_type,success,completion_time,max_position,avg_velocity,total_energy,avg_energy,control_effort,final_position,final_velocity,efficiency
0.01,0.01,naive,false,100,-0.35094377413834504,0.0003073100076915274,-11.880563259547515,-0.11880563259547515,100.0,-0.46926899923084736,0.001459858355206724,0.0
0.01,0.01,active_inference,false,100,-0.02253454569538256,-0.0018109577137088758,-9.1764221353243,-0.091764221353243,144.35169844614563,-0.6829067290845964,-0.025677018042452676,0.0
0.01,0.21,naive,false,100,-0.40025538977895486,0.000761588023924761,-11.980011991316141,-0.11980011991316142,100.0,-0.4238411976075238,-4.697571530376532e-8,0.0
0.01,0.21,active_inference,false,100,-0.3343590824032939,0.0008908857672153726,-11.794591999163869,-0.11794591999163868,147.2219489435999,-0.41002053751124706,-1.6585828761690735e-6,0.0
0.21,0.01,naive,true,54,3.95425640210984,0.01863585486903754,76.84908215531046,1.4231311510242677,54.0,0.5063361629280287,-0.04778652483903431,0.00024097253993343688
0.21,0.01,active_inference,false,100,0.6907626609132805,0.011631541907859602,18.714725327198202,0.18714725327198203,22.757588288715368,0.6747857326938197,-2.908542329170538e-6,0.0
0.21,0.21,naive,false,100,3.199810003190187,0.03131859305051421,132.59671017138558,1.325967101713856,100.0,2.631859305051419,6.04381952462596e-6,0.0
0.21,0.21,active_inference,false,100,0.8129972895299955,0.012999973163663322,20.43856837865507,0.2043856837865507,18.39945170818923,0.8129972895299955,2.879900541413044e-5,0.0
