force,friction,agent_type,success,completion_time,max_position,avg_velocity,total_energy,avg_energy,control_effort,final_position,final_velocity,efficiency
0.01,0.01,naive,false,100,-0.35094377413834504,0.0003073100076915274,-11.880563259547515,-0.11880563259547515,100.0,-0.46926899923084736,0.001459858355206724,0.0
0.01,0.01,active_inference,false,100,0.11841492629311445,0.004081225152902978,-7.33632376050405,-0.0733632376050405,141.4412435020571,-0.08779625955679918,0.07732913294051452,0.0
0.01,0.03222222222222222,naive,false,100,-0.3585124979897913,0.0006193561744841756,-11.933548112101112,-0.11933548112101112,100.0,-0.4380643825515822,0.0011620449968326512,0.0
0.01,0.03222222222222222,active_inference,false,100,0.012744877033141613,0.0024831667150152954,-9.540846923477709,-0.09540846923477708,144.39557827181545,-0.24920016178345497,0.016389322749919916,0.0
0.01,0.05444444444444444,naive,false,100,-0.36543676301284483,0.0007179656131205286,-11.952122904271807,-0.11952122904271807,100.0,-0.4282034386879472,0.0005282513185566121,0.0
0.01,0.05444444444444444,active_inference,false,100,-0.06760871348664632,0.0015466177288150672,-10.536425495680804,-0.10536425495680804,144.30462116058794,-0.3437916093896782,0.002978710735931341,0.0
0.01,0.07666666666666666,naive,false,100,-0.3717759767301873,0.0007483676959402827,-11.961171275782876,-0.11961171275782875,100.0,-0.425163230405972,0.00019417391200928728,0.0
0.01,0.07666666666666666,active_inference,false,100,-0.13281225533203714,0.0011535870639342574,-10.988044797557844,-0.10988044797557844,147.2219489435999,-0.3834877065426397,0.0002516610687326327,0.0
0.01,0.09888888888888889,naive,false,100,-0.37758445173779526,0.0007576135352239771,-11.966711059633862,-0.11966711059633862,100.0,-0.4242386464776025,6.204858752994428e-5,0.0
0.01,0.09888888888888889,active_inference,false,100,-0.186460113803452,0.000994928962920548,-11.269530686769022,-0.11269530686769022,147.2219489435999,-0.3995121747450243,9.462399376711228e-5,0.0
0.01,0.12111111111111111,naive,false,100,-0.3829117798050118,0.0007604071758441786,-11.970609527906516,-0.11970609527906516,100.0,-0.4239592824155821,1.7446354842121786e-5,0.0
0.01,0.12111111111111111,active_inference,false,100,-0.22879812847673073,0.0009316447226095788,-11.44367958835078,-0.11443679588350779,147.2219489435999,-0.40590388301643227,7.940115580106107e-5,0.0
0.01,0.14333333333333334,naive,false,100,-0.38780318430544825,0.0007612468236760034,-11.973607875954658,-0.11973607875954657,100.0,-0.42387531763239944,4.188866226160701e-6,0.0
0.01,0.14333333333333334,active_inference,false,100,-0.26263679593945477,0.0009065886878853425,-11.56054103023079,-0.11560541030230789,147.2219489435999,-0.40843454252358036,6.585391543995588e-5,0.0
0.01,0.16555555555555557,naive,false,100,-0.39229985185163013,0.0007614961960648325,-11.976060204487318,-0.11976060204487318,100.0,-0.4238503803935167,7.58987560498664e-7,0.0
0.01,0.16555555555555557,active_inference,false,100,-0.290685506061383,0.0008967715133966554,-11.638693926790895,-0.11638693926790894,147.2219489435999,-0.40942607714693796,3.972820788368525e-5,0.0
0.01,0.18777777777777777,naive,false,100,-0.39643924398804076,0.0007615682632051926,-11.978157607097236,-0.11978157607097235,100.0,-0.42384317367948077,4.019223742192379e-8,0.0
0.01,0.18777777777777777,active_inference,false,100,-0.31220846089143245,0.0008931135412627906,-11.705572397279271,-0.11705572397279271,147.2219489435999,-0.4097955323324581,3.253139734701177e-6,0.0
0.01,0.21,naive,false,100,-0.40025538977895486,0.000761588023924761,-11.980011991316141,-0.11980011991316142,100.0,-0.4238411976075238,-4.697571530376532e-8,0.0
0.01,0.21,active_inference,false,100,-0.3309070421323651,0.0008917758748213959,-11.750686200502656,-0.11750686200502657,147.2219489435999,-0.40993063664303875,5.569321926300261e-6,0.0
0.03222222222222222,0.01,naive,false,100,-0.01970771666800085,0.0009902211358949254,-8.29695927505506,-0.0829695927505506,100.0,-0.4009778864105075,0.004703988033443681,0.0
0.03222222222222222,0.01,active_inference,false,100,0.7125716677361644,0.005316969462671449,6.975439364858655,0.06975439364858654,154.81410126788415,0.03701391572981645,-0.06951620348515908,0.0
0.03222222222222222,0.03222222222222222,naive,false,100,-0.04409582685599412,0.001995703228893464,-8.847085954037475,-0.08847085954037474,100.0,-0.3004296771106535,0.0037443672120163474,0.0
0.03222222222222222,0.03222222222222222,active_inference,true,80,0.7541735922481021,0.012358522846262886,9.910267999591499,0.12387834999489374,118.11081386274812,0.5010403505472942,-0.0291270578984122,0.0012613180592608848
0.03222222222222222,0.05444444444444444,naive,false,100,-0.06640734748583332,0.00231344475338837,-9.039942746822094,-0.09039942746822094,100.0,-0.2686555246611632,0.00170214313757127,0.0
0.03222222222222222,0.05444444444444444,active_inference,false,100,0.7534161985149455,0.006638410010569477,15.649362302743114,0.15649362302743114,164.55416546084206,0.17047941106751763,-0.07563289602694655,0.0
0.03222222222222222,0.07666666666666666,naive,false,100,-0.08683370279727018,0.002411407020252013,-9.133889418930824,-0.09133889418930824,100.0,-0.25885929797479856,0.0006256714942520711,0.0
0.03222222222222222,0.07666666666666666,active_inference,false,100,0.7155812645811285,0.011997458143113184,16.67445957197617,0.1667445957197617,167.86300242920709,0.7117432724544323,-5.65070899338424e-6,0.0
0.03222222222222222,0.09888888888888889,naive,false,100,-0.10554990004400697,0.0024411991690550337,-9.19140742163058,-0.09191407421630579,100.0,-0.25588008309449695,0.00019993433759642187,0.0
