force,friction,agent_type,success,completion_time,max_position,avg_velocity,total_energy,avg_energy,control_effort,final_position,final_velocity,efficiency
0.01,0.01,naive,false,100,-0.35094377413834504,0.0003073100076915274,-11.880563259547515,-0.11880563259547515,100.0,-0.46926899923084736,0.001459858355206724,0.0
0.01,0.01,naive,false,100,-0.35094377413834504,0.0003073100076915274,-11.880563259547515,-0.11880563259547515,100.0,-0.46926899923084736,0.001459858355206724,0.0
0.01,0.01,active_inference,false,100,0.11841492629311445,0.004081225152902978,-7.33632376050405,-0.0733632376050405,141.4412435020571,-0.08779625955679918,0.07732913294051452,0.0
0.01,0.01,active_inference,false,100,0.11841492629311445,0.004081225152902978,-7.33632376050405,-0.0733632376050405,141.4412435020571,-0.08779625955679918,0.07732913294051452,0.0
0.01,0.02857142857142857,naive,false,100,-0.35731496529952284,0.0005891681163862866,-11.928479971578485,-0.11928479971578484,100.0,-0.44108318836137117,0.0012788511588627685,0.0
0.01,0.02857142857142857,naive,false,100,-0.35731496529952284,0.0005891681163862866,-11.928479971578485,-0.11928479971578484,100.0,-0.44108318836137117,0.0012788511588627685,0.0
0.01,0.02857142857142857,active_inference,false,100,0.031020784676145344,0.002725791043743079,-9.262134495647468,-0.09262134495647467,144.3934332316358,-0.22469510458194938,0.02130721036542408,0.0
0.01,0.02857142857142857,active_inference,false,100,0.031020784676145344,0.002725791043743079,-9.262134495647468,-0.09262134495647467,144.3934332316358,-0.22469510458194938,0.02130721036542408,0.0
0.01,0.047142857142857146,naive,false,100,-0.36322897647976743,0.0006971585676041657,-11.947626126295951,-0.11947626126295952,100.0,-0.43028414323958347,0.0007053832943701181,0.0
0.01,0.047142857142857146,naive,false,100,-0.36322897647976743,0.0006971585676041657,-11.947626126295951,-0.11947626126295952,100.0,-0.43028414323958347,0.0007053832943701181,0.0
0.01,0.047142857142857146,active_inference,false,100,-0.04137402444849829,0.0017748932085948942,-10.282629258683786,-0.10282629258683786,144.29037522924165,-0.3207357859319157,0.004569902299497972,0.0
0.01,0.047142857142857146,active_inference,false,100,-0.04137402444849829,0.0017748932085948942,-10.282629258683786,-0.10282629258683786,144.29037522924165,-0.3207357859319157,0.004569902299497972,0.0
