force,friction,agent_type,success,target_time,total_energy,efficiency,stability,oscillations,control_effort,max_position,avg_velocity
0.105,0.0575,naive,false,200,0.830543895704729,0.0,0.09944205847323544,22,200.0,2.955616457279904,0.05417563489023619
0.105,0.0575,active,false,200,0.30821591815638305,0.0,0.039562103659001424,2,84.57661803003909,1.8775541883641143,0.017685763923826352
0.105,0.0575,active,false,200,0.30821591815638305,0.0,0.039562103659001424,2,84.57661803003909,1.8775541883641143,0.017685763923826352
0.105,0.105,naive,false,200,0.8238826961614711,0.0,0.07299042651083035,22,200.0,2.7665992474988417,0.03072768874133695
0.105,0.105,naive,false,200,0.8238826961614711,0.0,0.07299042651083035,22,200.0,2.7665992474988417,0.03072768874133695
0.105,0.105,active,false,200,0.3240166717082555,0.0,0.043121552482948106,6,86.0272364327331,1.9571894661663563,0.018368071144848022
0.105,0.105,active,false,200,0.3240166717082555,0.0,0.043121552482948106,6,86.0272364327331,1.9571894661663563,0.018368071144848022
0.105,0.1525,naive,false,200,0.8173279081892713,0.0,0.06005907017048355,22,200.0,2.6001935803639094,0.022318641559868846
0.105,0.1525,naive,false,200,0.8173279081892713,0.0,0.06005907017048355,22,200.0,2.6001935803639094,0.022318641559868846
0.105,0.1525,active,false,200,0.3363109224769068,0.0,0.04326408054712565,8,86.73205935813117,1.934621081628063,0.018145396446561633
0.105,0.1525,active,false,200,0.3363109224769068,0.0,0.04326408054712565,8,86.73205935813117,1.934621081628063,0.018145396446561633
0.105,0.2,naive,false,200,0.8109099186198024,0.0,0.05200426895700135,22,200.0,2.465448842356883,0.018272717650580132
0.105,0.2,naive,false,200,0.8109099186198024,0.0,0.05200426895700135,22,200.0,2.465448842356883,0.018272717650580132
0.105,0.2,active,false,200,0.34938755400483573,0.0,0.0433386504946969,4,90.17549206321888,1.9880983700137396,0.018460918464250627
0.105,0.2,active,false,200,0.34938755400483573,0.0,0.0433386504946969,4,90.17549206321888,1.9880983700137396,0.018460918464250627
0.1525,0.01,naive,false,200,1.0857114531592607,0.0,0.3028321767766765,23,200.0,3.598775827556014,0.2600657486200432
0.1525,0.01,naive,false,200,1.0857114531592607,0.0,0.3028321767766765,23,200.0,3.598775827556014,0.2600657486200432
0.1525,0.01,active,false,200,0.264560114864085,0.0,0.03908877388220586,8,55.66912623353122,1.5800097448849553,0.015564395723468512
0.1525,0.01,active,false,200,0.264560114864085,0.0,0.03908877388220586,8,55.66912623353122,1.5800097448849553,0.015564395723468512
0.1525,0.0575,naive,false,200,1.0840949021070723,0.0,0.13729548047572515,26,200.0,3.3944914967982847,0.07404142359235145
0.1525,0.0575,naive,false,200,1.0840949021070723,0.0,0.13729548047572515,26,200.0,3.3944914967982847,0.07404142359235145
0.1525,0.0575,active,false,200,0.2592896236289974,0.0,0.03597238840688121,8,56.71611612992426,1.288057505588877,0.012898976075445764
0.1525,0.0575,active,false,200,0.2592896236289974,0.0,0.03597238840688121,8,56.71611612992426,1.288057505588877,0.012898976075445764
0.1525,0.105,naive,false,200,1.0723143615663124,0.0,0.10102356816142369,27,200.0,3.1797604878351704,0.041120912482504796
0.1525,0.105,naive,false,200,1.0723143615663124,0.0,0.10102356816142369,27,200.0,3.1797604878351704,0.041120912482504796
0.1525,0.105,active,false,200,0.26457739263888447,0.0,0.0391360982611948,10,55.39081037208966,1.2881280010360983,0.013016931737021701
0.1525,0.105,active,false,200,0.26457739263888447,0.0,0.0391360982611948,10,55.39081037208966,1.2881280010360983,0.013016931737021701
0.1525,0.1525,naive,false,200,1.0639894704884227,0.0,0.08333383896554472,27,200.0,3.024674554095413,0.02924934538346304
0.1525,0.1525,naive,false,200,1.0639894704884227,0.0,0.08333383896554472,27,200.0,3.024674554095413,0.02924934538346304
