force,friction,agent_type,success,target_time,total_energy,efficiency,stability,oscillations,control_effort,max_position,avg_velocity
0.01,0.01,naive,false,200,-0.11910255281260877,0.0,0.011336928376932318,21,200.0,-0.35094377413834504,0.00976135399698772
0.01,0.01,naive,false,200,-0.11910255281260877,0.0,0.011336928376932318,21,200.0,-0.35094377413834504,0.00976135399698772
0.01,0.01,naive,false,200,-0.11910255281260877,0.0,0.011336928376932318,21,200.0,-0.35094377413834504,0.00976135399698772
0.01,0.01,active,false,200,-0.09743634688282513,0.0,0.06264844827110458,21,290.1177537484706,-0.010972785799186181,0.05349194459762705
0.01,0.01,active,false,200,-0.09743634688282513,0.0,0.06264844827110458,21,290.1177537484706,-0.010972785799186181,0.05349194459762705
0.01,0.01,active,false,200,-0.09743634688282513,0.0,0.06264844827110458,21,290.1177537484706,-0.010972785799186181,0.05349194459762705
0.01,0.155,naive,false,200,-0.11975050414868141,0.0,0.003077589895388086,21,200.0,-0.3902106955937295,0.000974997540340757
0.01,0.155,naive,false,200,-0.11975050414868141,0.0,0.003077589895388086,21,200.0,-0.3902106955937295,0.000974997540340757
0.01,0.155,naive,false,200,-0.11975050414868141,0.0,0.003077589895388086,21,200.0,-0.3902106955937295,0.000974997540340757
0.01,0.155,active,false,200,-0.1178774492737223,0.0,0.014092124591937817,21,292.9716783977638,-0.2883671983642139,0.005744283217486676
0.01,0.155,active,false,200,-0.1178774492737223,0.0,0.014092124591937817,21,292.9716783977638,-0.2883671983642139,0.005744283217486676
0.01,0.155,active,false,200,-0.1178774492737223,0.0,0.014092124591937817,21,292.9716783977638,-0.2883671983642139,0.005744283217486676
0.01,0.3,naive,false,200,-0.11980650914771891,0.0,0.002199030079244765,19,200.0,-0.41211176071622885,0.0005163406372741063
0.01,0.3,naive,false,200,-0.11980650914771891,0.0,0.002199030079244765,19,200.0,-0.41211176071622885,0.0005163406372741063
0.01,0.3,naive,false,200,-0.11980650914771891,0.0,0.002199030079244765,19,200.0,-0.41211176071622885,0.0005163406372741063
0.01,0.3,active,false,200,-0.11870341335854181,0.0,0.008561976945740925,20,292.9716783977638,-0.3779030436701242,0.0029946836442745635
0.01,0.3,active,false,200,-0.11870341335854181,0.0,0.008561976945740925,20,292.9716783977638,-0.3779030436701242,0.0029946836442745635
0.01,0.3,active,false,200,-0.11870341335854181,0.0,0.008561976945740925,20,292.9716783977638,-0.3779030436701242,0.0029946836442745635
0.155,0.01,naive,false,200,1.1006533299354202,0.0,0.30706937658553973,23,200.0,3.625607705848076,0.2646835394318629
0.155,0.01,naive,false,200,1.1006533299354202,0.0,0.30706937658553973,23,200.0,3.625607705848076,0.2646835394318629
0.155,0.01,naive,false,200,1.1006533299354202,0.0,0.30706937658553973,23,200.0,3.625607705848076,0.2646835394318629
0.155,0.01,active,false,200,0.23951294455074265,0.0,0.029582903032090994,10,55.599713305138195,0.8531355602625255,0.009944473640558091
0.155,0.01,active,false,200,0.23951294455074265,0.0,0.029582903032090994,10,55.599713305138195,0.8531355602625255,0.009944473640558091
0.155,0.01,active,false,200,0.23951294455074265,0.0,0.029582903032090994,10,55.599713305138195,0.8531355602625255,0.009944473640558091
0.155,0.155,naive,false,200,1.0767231969006112,0.0,0.08373467733162743,27,200.0,3.0372643860834376,0.029198700097124813
0.155,0.155,naive,false,200,1.0767231969006112,0.0,0.08373467733162743,27,200.0,3.0372643860834376,0.029198700097124813
0.155,0.155,naive,false,200,1.0767231969006112,0.0,0.08373467733162743,27,200.0,3.0372643860834376,0.029198700097124813
0.155,0.155,active,false,200,0.31438894880002577,0.0,0.04174837834810173,2,57.77045697845752,1.9364672333823294,0.01794382273483965
0.155,0.155,active,false,200,0.31438894880002577,0.0,0.04174837834810173,2,57.77045697845752,1.9364672333823294,0.01794382273483965
0.155,0.155,active,false,200,0.31438894880002577,0.0,0.04174837834810173,2,57.77045697845752,1.9364672333823294,0.01794382273483965
0.155,0.3,naive,false,200,1.0569323286627827,0.0,0.059178032750229974,26,200.0,2.6485454901169407,0.017691698896992528
0.155,0.3,naive,false,200,1.0569323286627827,0.0,0.059178032750229974,26,200.0,2.6485454901169407,0.017691698896992528
0.155,0.3,naive,false,200,1.0569323286627827,0.0,0.059178032750229974,26,200.0,2.6485454901169407,0.017691698896992528
0.155,0.3,active,false,200,0.38164394209177227,0.0,0.04590205513045153,8,65.56605720526626,2.0395513115606643,0.01957617776351728
0.155,0.3,active,false,200,0.38164394209177227,0.0,0.04590205513045153,8,65.56605720526626,2.0395513115606643,0.01957617776351728
0.155,0.3,active,false,200,0.38164394209177227,0.0,0.04590205513045153,8,65.56605720526626,2.0395513115606643,0.01957617776351728
0.3,0.01,naive,false,200,2.113752103490392,0.0,0.49885113759985705,31,200.0,4.352720557568676,0.4297962241056631
0.3,0.01,naive,false,200,2.113752103490392,0.0,0.49885113759985705,31,200.0,4.352720557568676,0.4297962241056631
0.3,0.01,naive,false,200,2.113752103490392,0.0,0.49885113759985705,31,200.0,4.352720557568676,0.4297962241056631
0.3,0.01,active,true,39,0.0315878708183654,1234.6511173309325,0.036724413294165606,5,6.458141205228646,0.49983049216028014,0.030525527788933537
0.3,0.01,active,true,39,0.0315878708183654,1234.6511173309325,0.036724413294165606,5,6.458141205228646,0.49983049216028014,0.030525527788933537
0.3,0.01,active,true,39,0.0315878708183654,1234.6511173309325,0.036724413294165606,5,6.458141205228646,0.49983049216028014,0.030525527788933537
0.3,0.155,naive,false,200,1.8797692256541578,0.0,0.1366592693782909,36,200.0,3.830685154228273,0.04509596852045323
0.3,0.155,naive,false,200,1.8797692256541578,0.0,0.1366592693782909,36,200.0,3.830685154228273,0.04509596852045323
0.3,0.155,naive,false,200,1.8797692256541578,0.0,0.1366592693782909,36,200.0,3.830685154228273,0.04509596852045323
0.3,0.155,active,true,39,0.005598437688980211,6966.229181538695,0.04608759648667687,5,7.537815196108184,0.4977801691816169,0.03166531974645524
